paraphrase,opposite,negation,original,ID,annotator
1,0,0,1,de_31_1000011_de,3
1,0,0,1,ch_55_1000011_de,3
0,1,1,0,nl_5_1000011_nl,3
1,0,0,1,de_18_1000011_de,3
1,0,0,1,pl_6_1000011_pl,3
1,0,0,1,de_5_1000011_de,3
1,0,0,1,hu_20_1000011_hu,3
0,0,1,0,es_10_1000011_es,3
1,1,0,1,de_8_1000011_de,3
1,0,0,1,ch_52_1000011_de,3
1,0,0,1,nl_8_1000011_nl,3
1,0,0,1,ch_37_1000011_de,3
1,0,0,1,pl_20_1000011_pl,3
1,0,0,1,ch_48_1000011_de,3
0,1,1,0,de_38_1000011_de,3
1,0,0,1,es_6_1000011_es,3
1,0,1,1,it_15_1000011_it,3
1,0,0,1,de_37_1000011_de,3
0,1,0,0,it_14_1000011_it,3
1,0,0,1,hu_15_1000011_hu,3
1,0,0,1,ch_4_1000011_de,3
1,1,1,0,de_19_1000011_de,3
1,0,0,1,de_32_1000011_de,3
1,0,0,1,hu_21_1000011_hu,3
0,1,1,0,pl_18_1000011_pl,3
1,0,0,1,ch_36_1000011_de,3
1,0,0,1,hu_33_1000011_hu,3
0,1,1,0,ch_53_1000011_de,3
1,0,0,1,ch_41_1000011_de,3
1,0,0,1,de_24_1000011_de,3
0,1,1,0,hu_13_1000011_hu,3
1,0,0,1,ch_11_1000011_de,3
0,1,1,0,hu_22_1000011_hu,3
1,0,0,1,es_24_1000011_es,3
1,0,0,1,ch_38_1000011_de,3
0,1,1,0,nl_18_1000011_nl,3
0,1,1,0,de_29_1000011_de,3
1,0,0,1,hu_4_1000011_hu,3
1,0,0,1,hu_39_1000011_hu,3
0,1,1,0,ch_46_1000011_de,3
1,0,0,1,pl_4_1000011_pl,3
1,0,0,1,es_8_1000011_es,3
0,1,1,0,de_6_1000011_de,3
1,0,0,1,nl_24_1000011_nl,3
0,0,1,0,ch_47_1000011_de,3
1,0,0,1,pl_7_1000011_pl,3
1,0,0,1,ch_15_1000011_de,3
1,0,0,1,ch_0_1000011_de,3
1,0,0,1,ch_58_1000011_de,3
0,1,1,0,nl_24_1000011_nl,4
1,0,0,1,es_6_1000011_es,4
1,1,0,1,nl_18_1000011_nl,4
1,0,0,1,hu_15_1000011_hu,4
0,1,1,0,ch_37_1000011_de,4
0,0,1,0,it_15_1000011_it,4
0,1,1,0,ch_53_1000011_de,4
1,1,1,0,ch_47_1000011_de,4
1,0,0,1,pl_7_1000011_pl,4
1,0,0,1,ch_41_1000011_de,4
1,0,0,1,es_24_1000011_es,4
0,1,0,0,nl_5_1000011_nl,4
1,0,0,1,de_5_1000011_de,4
1,0,0,1,ch_58_1000011_de,4
1,0,0,1,pl_20_1000011_pl,4
1,0,0,1,ch_36_1000011_de,4
1,0,1,1,hu_4_1000011_hu,4
1,0,0,1,ch_15_1000011_de,4
1,0,0,1,hu_39_1000011_hu,4
1,0,0,1,de_8_1000011_de,4
0,1,1,0,de_29_1000011_de,4
1,0,1,1,ch_46_1000011_de,4
1,0,0,1,de_32_1000011_de,4
1,1,0,1,de_38_1000011_de,4
0,1,1,0,nl_8_1000011_nl,4
1,0,0,1,de_18_1000011_de,4
1,0,0,1,ch_11_1000011_de,4
0,1,1,0,pl_18_1000011_pl,4
1,0,0,1,ch_48_1000011_de,4
1,0,0,1,pl_4_1000011_pl,4
1,0,0,1,es_10_1000011_es,4
0,0,0,1,de_37_1000011_de,4
1,0,0,1,ch_0_1000011_de,4
0,1,1,0,pl_19_1000011_pl,4
1,0,1,1,ch_52_1000011_de,4
0,1,1,0,hu_33_1000011_hu,4
1,0,0,1,es_8_1000011_es,4
0,1,1,0,de_6_1000011_de,4
1,0,0,1,ch_55_1000011_de,4
1,0,0,1,de_24_1000011_de,4
1,1,0,1,ch_4_1000011_de,4
0,1,1,0,hu_13_1000011_hu,4
0,1,1,0,hu_22_1000011_hu,4
1,0,0,1,pl_6_1000011_pl,4
1,0,0,1,de_31_1000011_de,4
0,0,1,0,it_14_1000011_it,4
0,1,1,0,hu_21_1000011_hu,4
0,0,1,0,ch_38_1000011_de,4
1,0,0,1,hu_20_1000011_hu,4
0,1,1,0,de_19_1000011_de,4
1,0,0,1,pl_6_1000011_pl,5
1,0,0,1,hu_33_1000011_hu,5
1,0,0,1,de_5_1000011_de,5
1,0,0,1,ch_38_1000011_de,5
0,1,1,0,it_14_1000011_it,5
1,0,0,1,ch_48_1000011_de,5
0,1,1,0,de_8_1000011_de,5
0,1,1,0,hu_13_1000011_hu,5
0,1,1,0,pl_19_1000011_pl,5
0,0,1,0,es_10_1000011_es,5
1,0,0,1,de_24_1000011_de,5
0,1,1,0,de_29_1000011_de,5
1,0,0,1,de_32_1000011_de,5
1,0,0,1,ch_15_1000011_de,5
1,0,0,1,es_24_1000011_es,5
0,1,1,0,nl_8_1000011_nl,5
1,0,0,1,pl_20_1000011_pl,5
0,1,0,0,ch_52_1000011_de,5
1,0,0,1,ch_36_1000011_de,5
0,1,1,0,ch_53_1000011_de,5
1,0,0,1,ch_55_1000011_de,5
1,0,0,1,de_37_1000011_de,5
1,0,0,1,ch_58_1000011_de,5
1,0,0,1,ch_37_1000011_de,5
1,0,0,1,nl_24_1000011_nl,5
0,1,1,0,ch_47_1000011_de,5
1,0,0,1,de_31_1000011_de,5
0,1,1,0,ch_46_1000011_de,5
0,0,1,0,it_15_1000011_it,5
1,0,0,1,hu_39_1000011_hu,5
1,0,0,1,ch_11_1000011_de,5
1,0,0,1,pl_4_1000011_pl,5
1,0,0,1,ch_41_1000011_de,5
1,0,0,1,hu_21_1000011_hu,5
0,1,1,0,nl_5_1000011_nl,5
0,1,1,0,hu_4_1000011_hu,5
1,0,0,1,ch_0_1000011_de,5
1,0,0,1,pl_7_1000011_pl,5
1,0,0,1,ch_4_1000011_de,5
0,1,1,0,de_19_1000011_de,5
0,1,1,0,de_38_1000011_de,5
1,0,0,1,es_6_1000011_es,5
1,0,0,1,nl_18_1000011_nl,5
1,0,0,1,hu_15_1000011_hu,5
0,1,1,0,hu_22_1000011_hu,5
1,0,0,1,es_8_1000011_es,5
1,0,0,1,hu_20_1000011_hu,5
0,1,1,0,de_6_1000011_de,5
1,0,0,1,de_18_1000011_de,5
0,1,1,0,pl_18_1000011_pl,5
0,1,1,0,de_8_1000011_de,6
1,0,1,1,ch_38_1000011_de,6
1,0,0,0,ch_0_1000011_de,6
1,0,0,1,de_31_1000011_de,6
1,0,0,1,pl_4_1000011_pl,6
1,0,0,1,ch_52_1000011_de,6
1,0,0,1,de_6_1000011_de,6
1,0,0,1,pl_6_1000011_pl,6
0,1,1,0,de_29_1000011_de,6
0,1,1,0,de_19_1000011_de,6
0,0,1,0,it_15_1000011_it,6
0,1,1,0,pl_18_1000011_pl,6
1,0,1,1,ch_58_1000011_de,6
1,0,0,1,de_37_1000011_de,6
1,0,1,1,pl_19_1000011_pl,6
0,1,1,0,hu_22_1000011_hu,6
1,0,0,1,de_32_1000011_de,6
1,0,0,1,de_24_1000011_de,6
1,0,1,1,de_5_1000011_de,6
0,1,1,0,nl_5_1000011_nl,6
0,1,0,0,es_10_1000011_es,6
1,0,0,1,hu_20_1000011_hu,6
1,0,0,1,pl_7_1000011_pl,6
1,0,0,1,nl_8_1000011_nl,6
1,0,0,1,ch_4_1000011_de,6
1,0,0,1,pl_20_1000011_pl,6
1,0,0,1,hu_13_1000011_hu,6
0,1,1,0,it_14_1000011_it,6
1,0,0,1,ch_46_1000011_de,6
1,0,0,1,hu_39_1000011_hu,6
0,0,1,0,hu_21_1000011_hu,6
1,0,0,1,es_24_1000011_es,6
1,0,0,1,ch_55_1000011_de,6
1,0,0,1,es_8_1000011_es,6
1,0,0,1,ch_48_1000011_de,6
1,1,0,1,hu_15_1000011_hu,6
0,0,0,1,ch_37_1000011_de,6
0,1,1,0,nl_24_1000011_nl,6
1,0,0,1,ch_36_1000011_de,6
1,0,0,1,ch_11_1000011_de,6
1,0,0,1,hu_4_1000011_hu,6
0,1,1,0,nl_18_1000011_nl,6
1,0,0,1,es_6_1000011_es,6
1,0,0,1,de_18_1000011_de,6
1,0,0,1,ch_15_1000011_de,6
1,0,0,1,de_38_1000011_de,6
1,0,0,1,ch_53_1000011_de,6
0,1,1,0,ch_41_1000011_de,6
0,1,1,0,hu_33_1000011_hu,6
0,1,1,0,ch_47_1000011_de,6
