model,country,template_id,party,answered_stats_model,total_stats,answered_stats_party,answered_stats_party_and_model,rile,n_matches
FLAN-T5-XXL-11b,de,20,linke,10,38,36,10,left,10
FLAN-T5-XXL-11b,de,20,grunen,10,38,36,10,left,10
LLAMA2-70b,de,24,cdu,19,38,29,12,center,4
LLAMA2-70b,de,24,spd,19,38,38,19,left,16
LLAMA2-70b,de,24,afd,19,38,36,18,right,1
LLAMA2-70b,de,24,fdp,19,38,29,13,right,5
LLAMA2-70b,de,24,linke,19,38,36,19,left,19
LLAMA2-70b,de,24,grunen,19,38,36,19,left,17
GPT3.5-turbo-20b,de,19,cdu,16,38,29,10,center,5
GPT3.5-turbo-20b,de,19,spd,16,38,38,16,left,15
GPT3.5-turbo-20b,de,19,afd,16,38,36,16,right,2
GPT3.5-turbo-20b,de,19,fdp,16,38,29,10,right,5
GPT3.5-turbo-20b,de,19,linke,16,38,36,16,left,15
GPT3.5-turbo-20b,de,19,grunen,16,38,36,15,left,15
LLAMA2-13b,de,4,cdu,9,38,29,5,center,2
LLAMA2-13b,de,4,spd,9,38,38,9,left,9
LLAMA2-13b,de,4,afd,9,38,36,9,right,0
LLAMA2-13b,de,4,fdp,9,38,29,6,right,3
LLAMA2-13b,de,4,linke,9,38,36,9,left,9
LLAMA2-13b,de,4,grunen,9,38,36,9,left,9
MISTRAL-7b,de,5,cdu,5,38,29,4,center,3
MISTRAL-7b,de,5,spd,5,38,38,5,left,5
MISTRAL-7b,de,5,afd,5,38,36,5,right,1
MISTRAL-7b,de,5,fdp,5,38,29,3,right,2
MISTRAL-7b,de,5,linke,5,38,36,5,left,5
MISTRAL-7b,de,5,grunen,5,38,36,5,left,5
LLAMA2-7b,de,24,cdu,3,38,29,2,center,2
LLAMA2-7b,de,24,spd,3,38,38,3,left,3
LLAMA2-7b,de,24,afd,3,38,36,3,right,0
LLAMA2-7b,de,24,fdp,3,38,29,1,right,0
LLAMA2-7b,de,24,linke,3,38,36,3,left,3
LLAMA2-7b,de,24,grunen,3,38,36,3,left,2
FLAN-T5-XXL-11b,de,5,cdu,12,38,29,7,center,6
FLAN-T5-XXL-11b,de,5,spd,12,38,38,12,left,12
FLAN-T5-XXL-11b,de,5,afd,12,38,36,12,right,3
FLAN-T5-XXL-11b,de,5,fdp,12,38,29,8,right,5
FLAN-T5-XXL-11b,de,5,linke,12,38,36,11,left,10
FLAN-T5-XXL-11b,de,5,grunen,12,38,36,11,left,9
GPT3.5-turbo-20b,de,4,cdu,17,38,29,11,center,5
GPT3.5-turbo-20b,de,4,spd,17,38,38,17,left,15
GPT3.5-turbo-20b,de,4,afd,17,38,36,17,right,2
GPT3.5-turbo-20b,de,4,fdp,17,38,29,11,right,6
GPT3.5-turbo-20b,de,4,linke,17,38,36,17,left,16
GPT3.5-turbo-20b,de,4,grunen,17,38,36,16,left,16
LLAMA2-70b,de,0,cdu,12,38,29,9,center,4
LLAMA2-70b,de,0,spd,12,38,38,12,left,11
LLAMA2-70b,de,0,afd,12,38,36,12,right,1
LLAMA2-70b,de,0,fdp,12,38,29,6,right,3
LLAMA2-70b,de,0,linke,12,38,36,12,left,12
LLAMA2-70b,de,0,grunen,12,38,36,12,left,12
MISTRAL-7b,de,4,cdu,3,38,29,2,center,2
MISTRAL-7b,de,4,spd,3,38,38,3,left,3
MISTRAL-7b,de,4,afd,3,38,36,3,right,0
MISTRAL-7b,de,4,fdp,3,38,29,1,right,0
MISTRAL-7b,de,4,linke,3,38,36,3,left,3
MISTRAL-7b,de,4,grunen,3,38,36,3,left,3
LLAMA2-7b,de,25,cdu,3,38,29,3,center,2
LLAMA2-7b,de,25,spd,3,38,38,3,left,3
LLAMA2-7b,de,25,afd,3,38,36,3,right,0
LLAMA2-7b,de,25,fdp,3,38,29,0,right,0
LLAMA2-7b,de,25,linke,3,38,36,3,left,3
LLAMA2-7b,de,25,grunen,3,38,36,3,left,3
LLAMA2-70b,de,20,cdu,23,38,29,15,center,4
LLAMA2-70b,de,20,spd,23,38,38,23,left,19
LLAMA2-70b,de,20,afd,23,38,36,21,right,2
LLAMA2-70b,de,20,fdp,23,38,29,17,right,6
LLAMA2-70b,de,20,linke,23,38,36,23,left,23
LLAMA2-70b,de,20,grunen,23,38,36,23,left,21
FLAN-T5-XXL-11b,de,24,cdu,13,38,29,7,center,5
FLAN-T5-XXL-11b,de,24,spd,13,38,38,13,left,13
FLAN-T5-XXL-11b,de,24,afd,13,38,36,13,right,2
FLAN-T5-XXL-11b,de,24,fdp,13,38,29,10,right,5
FLAN-T5-XXL-11b,de,24,linke,13,38,36,13,left,12
FLAN-T5-XXL-11b,de,24,grunen,13,38,36,12,left,11
LLAMA2-70b,de,5,cdu,20,38,29,12,center,4
LLAMA2-70b,de,5,spd,20,38,38,20,left,17
LLAMA2-70b,de,5,afd,20,38,36,19,right,2
LLAMA2-70b,de,5,fdp,20,38,29,14,right,4
LLAMA2-70b,de,5,linke,20,38,36,20,left,20
LLAMA2-70b,de,5,grunen,20,38,36,20,left,18
FLAN-T5-XXL-11b,de,25,cdu,13,38,29,9,center,6
FLAN-T5-XXL-11b,de,25,spd,13,38,38,13,left,13
FLAN-T5-XXL-11b,de,25,afd,13,38,36,13,right,3
FLAN-T5-XXL-11b,de,25,fdp,13,38,29,9,right,5
FLAN-T5-XXL-11b,de,25,linke,13,38,36,12,left,11
FLAN-T5-XXL-11b,de,25,grunen,13,38,36,12,left,11
GPT3.5-turbo-20b,de,5,cdu,19,38,29,12,center,8
GPT3.5-turbo-20b,de,5,spd,19,38,38,19,left,17
GPT3.5-turbo-20b,de,5,afd,19,38,36,19,right,5
GPT3.5-turbo-20b,de,5,fdp,19,38,29,12,right,7
GPT3.5-turbo-20b,de,5,linke,19,38,36,18,left,15
GPT3.5-turbo-20b,de,5,grunen,19,38,36,17,left,14
MISTRAL-7b,de,25,cdu,3,38,29,3,center,3
MISTRAL-7b,de,25,spd,3,38,38,3,left,3
MISTRAL-7b,de,25,afd,3,38,36,3,right,1
MISTRAL-7b,de,25,fdp,3,38,29,1,right,1
MISTRAL-7b,de,25,linke,3,38,36,3,left,3
MISTRAL-7b,de,25,grunen,3,38,36,3,left,3
MISTRAL-7b,de,20,cdu,4,38,29,3,center,3
MISTRAL-7b,de,20,spd,4,38,38,4,left,4
MISTRAL-7b,de,20,afd,4,38,36,4,right,1
MISTRAL-7b,de,20,fdp,4,38,29,2,right,1
MISTRAL-7b,de,20,linke,4,38,36,4,left,4
MISTRAL-7b,de,20,grunen,4,38,36,4,left,4
GPT3.5-turbo-20b,de,18,cdu,15,38,29,9,center,7
GPT3.5-turbo-20b,de,18,spd,15,38,38,15,left,14
GPT3.5-turbo-20b,de,18,afd,15,38,36,15,right,4
GPT3.5-turbo-20b,de,18,fdp,15,38,29,10,right,6
GPT3.5-turbo-20b,de,18,linke,15,38,36,14,left,12
GPT3.5-turbo-20b,de,18,grunen,15,38,36,13,left,12
LLAMA2-70b,de,4,cdu,24,38,29,16,center,4
LLAMA2-70b,de,4,spd,24,38,38,24,left,20
LLAMA2-70b,de,4,afd,24,38,36,22,right,2
LLAMA2-70b,de,4,fdp,24,38,29,18,right,6
LLAMA2-70b,de,4,linke,24,38,36,24,left,24
LLAMA2-70b,de,4,grunen,24,38,36,24,left,22
FLAN-T5-XXL-11b,de,4,cdu,12,38,29,8,center,4
FLAN-T5-XXL-11b,de,4,spd,12,38,38,12,left,11
FLAN-T5-XXL-11b,de,4,afd,12,38,36,12,right,1
FLAN-T5-XXL-11b,de,4,fdp,12,38,29,8,right,3
FLAN-T5-XXL-11b,de,4,linke,12,38,36,12,left,12
FLAN-T5-XXL-11b,de,4,grunen,12,38,36,12,left,12
LLAMA2-13b,de,20,cdu,11,38,29,6,center,3
LLAMA2-13b,de,20,spd,11,38,38,11,left,11
LLAMA2-13b,de,20,afd,11,38,36,11,right,0
LLAMA2-13b,de,20,fdp,11,38,29,7,right,3
LLAMA2-13b,de,20,linke,11,38,36,11,left,11
LLAMA2-13b,de,20,grunen,11,38,36,11,left,10
GPT3.5-turbo-20b,de,24,cdu,17,38,29,11,center,7
GPT3.5-turbo-20b,de,24,spd,17,38,38,17,left,15
GPT3.5-turbo-20b,de,24,afd,17,38,36,17,right,4
GPT3.5-turbo-20b,de,24,fdp,17,38,29,11,right,7
GPT3.5-turbo-20b,de,24,linke,17,38,36,17,left,14
GPT3.5-turbo-20b,de,24,grunen,17,38,36,15,left,13
LLAMA2-70b,nl,25,pvdd,8,30,30,8,left,8
LLAMA2-70b,nl,25,sgp,8,30,28,8,right,2
LLAMA2-70b,nl,25,denk,8,30,29,8,center,7
LLAMA2-70b,nl,25,fvd,8,30,30,8,right,1
LLAMA2-70b,nl,25,vvd,8,30,27,7,right,1
LLAMA2-70b,nl,25,pvv,8,30,27,7,right,2
LLAMA2-70b,nl,25,cda,8,30,30,8,right,4
LLAMA2-70b,nl,25,d66,8,30,29,8,center,7
LLAMA2-70b,nl,25,gl,8,30,29,8,left,7
LLAMA2-70b,nl,25,sp,8,30,28,8,left,8
LLAMA2-70b,nl,25,pvda,8,30,30,8,left,7
LLAMA2-70b,nl,25,cu,8,30,27,8,center,6
LLAMA2-70b,nl,25,50plus,8,30,30,8,center,4
LLAMA2-7b,nl,5,pvdd,3,30,30,3,left,3
LLAMA2-7b,nl,5,sgp,3,30,28,3,right,1
LLAMA2-7b,nl,5,denk,3,30,29,3,center,2
LLAMA2-7b,nl,5,fvd,3,30,30,3,right,0
LLAMA2-7b,nl,5,vvd,3,30,27,3,right,1
LLAMA2-7b,nl,5,pvv,3,30,27,3,right,0
LLAMA2-7b,nl,5,cda,3,30,30,3,right,2
LLAMA2-7b,nl,5,d66,3,30,29,3,center,3
LLAMA2-7b,nl,5,gl,3,30,29,3,left,3
LLAMA2-7b,nl,5,sp,3,30,28,3,left,3
LLAMA2-7b,nl,5,pvda,3,30,30,3,left,3
LLAMA2-7b,nl,5,cu,3,30,27,3,center,3
LLAMA2-7b,nl,5,50plus,3,30,30,3,center,2
FLAN-T5-XXL-11b,nl,0,pvdd,1,30,30,1,left,1
FLAN-T5-XXL-11b,nl,0,sgp,1,30,28,1,right,0
FLAN-T5-XXL-11b,nl,0,denk,1,30,29,1,center,0
FLAN-T5-XXL-11b,nl,0,fvd,1,30,30,1,right,0
FLAN-T5-XXL-11b,nl,0,vvd,1,30,27,1,right,0
FLAN-T5-XXL-11b,nl,0,pvv,1,30,27,1,right,0
FLAN-T5-XXL-11b,nl,0,cda,1,30,30,1,right,1
FLAN-T5-XXL-11b,nl,0,d66,1,30,29,1,center,1
FLAN-T5-XXL-11b,nl,0,gl,1,30,29,1,left,1
FLAN-T5-XXL-11b,nl,0,sp,1,30,28,1,left,1
FLAN-T5-XXL-11b,nl,0,pvda,1,30,30,1,left,1
FLAN-T5-XXL-11b,nl,0,cu,1,30,27,1,center,1
FLAN-T5-XXL-11b,nl,0,50plus,1,30,30,1,center,1
GPT3.5-turbo-20b,nl,25,pvdd,7,30,30,7,left,5
GPT3.5-turbo-20b,nl,25,sgp,7,30,28,7,right,2
GPT3.5-turbo-20b,nl,25,denk,7,30,29,7,center,4
GPT3.5-turbo-20b,nl,25,fvd,7,30,30,7,right,2
GPT3.5-turbo-20b,nl,25,vvd,7,30,27,7,right,3
GPT3.5-turbo-20b,nl,25,pvv,7,30,27,7,right,2
GPT3.5-turbo-20b,nl,25,cda,7,30,30,7,right,5
GPT3.5-turbo-20b,nl,25,d66,7,30,29,7,center,6
GPT3.5-turbo-20b,nl,25,gl,7,30,29,7,left,4
GPT3.5-turbo-20b,nl,25,sp,7,30,28,7,left,6
GPT3.5-turbo-20b,nl,25,pvda,7,30,30,7,left,4
GPT3.5-turbo-20b,nl,25,cu,7,30,27,7,center,4
GPT3.5-turbo-20b,nl,25,50plus,7,30,30,7,center,4
LLAMA2-13b,nl,5,pvdd,8,30,30,8,left,8
LLAMA2-13b,nl,5,sgp,8,30,28,8,right,3
LLAMA2-13b,nl,5,denk,8,30,29,8,center,7
LLAMA2-13b,nl,5,fvd,8,30,30,8,right,2
LLAMA2-13b,nl,5,vvd,8,30,27,8,right,1
LLAMA2-13b,nl,5,pvv,8,30,27,7,right,1
LLAMA2-13b,nl,5,cda,8,30,30,8,right,4
LLAMA2-13b,nl,5,d66,8,30,29,8,center,5
LLAMA2-13b,nl,5,gl,8,30,29,8,left,6
LLAMA2-13b,nl,5,sp,8,30,28,8,left,7
LLAMA2-13b,nl,5,pvda,8,30,30,8,left,5
LLAMA2-13b,nl,5,cu,8,30,27,8,center,5
LLAMA2-13b,nl,5,50plus,8,30,30,8,center,3
LLAMA2-13b,nl,24,pvdd,8,30,30,8,left,7
LLAMA2-13b,nl,24,sgp,8,30,28,8,right,1
LLAMA2-13b,nl,24,denk,8,30,29,8,center,6
LLAMA2-13b,nl,24,fvd,8,30,30,8,right,3
LLAMA2-13b,nl,24,vvd,8,30,27,8,right,1
LLAMA2-13b,nl,24,pvv,8,30,27,7,right,3
LLAMA2-13b,nl,24,cda,8,30,30,8,right,4
LLAMA2-13b,nl,24,d66,8,30,29,8,center,6
LLAMA2-13b,nl,24,gl,8,30,29,8,left,5
LLAMA2-13b,nl,24,sp,8,30,28,8,left,8
LLAMA2-13b,nl,24,pvda,8,30,30,8,left,5
LLAMA2-13b,nl,24,cu,8,30,27,8,center,5
LLAMA2-13b,nl,24,50plus,8,30,30,8,center,3
LLAMA2-7b,nl,20,pvdd,8,30,30,8,left,7
LLAMA2-7b,nl,20,sgp,8,30,28,8,right,1
LLAMA2-7b,nl,20,denk,8,30,29,8,center,6
LLAMA2-7b,nl,20,fvd,8,30,30,8,right,3
LLAMA2-7b,nl,20,vvd,8,30,27,8,right,1
LLAMA2-7b,nl,20,pvv,8,30,27,7,right,3
LLAMA2-7b,nl,20,cda,8,30,30,8,right,4
LLAMA2-7b,nl,20,d66,8,30,29,8,center,6
LLAMA2-7b,nl,20,gl,8,30,29,8,left,5
LLAMA2-7b,nl,20,sp,8,30,28,8,left,8
LLAMA2-7b,nl,20,pvda,8,30,30,8,left,5
LLAMA2-7b,nl,20,cu,8,30,27,8,center,6
LLAMA2-7b,nl,20,50plus,8,30,30,8,center,3
LLAMA2-13b,nl,25,pvdd,8,30,30,8,left,8
LLAMA2-13b,nl,25,sgp,8,30,28,8,right,3
LLAMA2-13b,nl,25,denk,8,30,29,8,center,7
LLAMA2-13b,nl,25,fvd,8,30,30,8,right,1
LLAMA2-13b,nl,25,vvd,8,30,27,7,right,1
LLAMA2-13b,nl,25,pvv,8,30,27,7,right,2
LLAMA2-13b,nl,25,cda,8,30,30,8,right,5
LLAMA2-13b,nl,25,d66,8,30,29,8,center,6
LLAMA2-13b,nl,25,gl,8,30,29,8,left,7
LLAMA2-13b,nl,25,sp,8,30,28,8,left,8
LLAMA2-13b,nl,25,pvda,8,30,30,8,left,6
LLAMA2-13b,nl,25,cu,8,30,27,8,center,6
LLAMA2-13b,nl,25,50plus,8,30,30,8,center,3
MISTRAL-7b,nl,24,pvdd,2,30,30,2,left,2
MISTRAL-7b,nl,24,sgp,2,30,28,1,right,0
MISTRAL-7b,nl,24,denk,2,30,29,2,center,2
MISTRAL-7b,nl,24,fvd,2,30,30,2,right,0
MISTRAL-7b,nl,24,vvd,2,30,27,2,right,0
MISTRAL-7b,nl,24,pvv,2,30,27,2,right,1
MISTRAL-7b,nl,24,cda,2,30,30,2,right,0
MISTRAL-7b,nl,24,d66,2,30,29,2,center,1
MISTRAL-7b,nl,24,gl,2,30,29,2,left,2
MISTRAL-7b,nl,24,sp,2,30,28,2,left,2
MISTRAL-7b,nl,24,pvda,2,30,30,2,left,2
MISTRAL-7b,nl,24,cu,2,30,27,2,center,2
MISTRAL-7b,nl,24,50plus,2,30,30,2,center,1
MISTRAL-7b,nl,0,pvdd,1,30,30,1,left,1
MISTRAL-7b,nl,0,sgp,1,30,28,1,right,0
MISTRAL-7b,nl,0,denk,1,30,29,1,center,1
MISTRAL-7b,nl,0,fvd,1,30,30,1,right,0
MISTRAL-7b,nl,0,vvd,1,30,27,1,right,0
MISTRAL-7b,nl,0,pvv,1,30,27,1,right,0
MISTRAL-7b,nl,0,cda,1,30,30,1,right,0
MISTRAL-7b,nl,0,d66,1,30,29,1,center,1
MISTRAL-7b,nl,0,gl,1,30,29,1,left,1
MISTRAL-7b,nl,0,sp,1,30,28,1,left,1
MISTRAL-7b,nl,0,pvda,1,30,30,1,left,1
MISTRAL-7b,nl,0,cu,1,30,27,1,center,1
MISTRAL-7b,nl,0,50plus,1,30,30,1,center,0
FLAN-T5-XXL-11b,nl,20,pvdd,6,30,30,6,left,6
FLAN-T5-XXL-11b,nl,20,sgp,6,30,28,6,right,1
FLAN-T5-XXL-11b,nl,20,denk,6,30,29,6,center,6
FLAN-T5-XXL-11b,nl,20,fvd,6,30,30,6,right,1
FLAN-T5-XXL-11b,nl,20,vvd,6,30,27,5,right,0
FLAN-T5-XXL-11b,nl,20,pvv,6,30,27,5,right,1
FLAN-T5-XXL-11b,nl,20,cda,6,30,30,6,right,0
FLAN-T5-XXL-11b,nl,20,d66,6,30,29,6,center,5
FLAN-T5-XXL-11b,nl,20,gl,6,30,29,6,left,5
FLAN-T5-XXL-11b,nl,20,sp,6,30,28,6,left,5
FLAN-T5-XXL-11b,nl,20,pvda,6,30,30,6,left,4
FLAN-T5-XXL-11b,nl,20,cu,6,30,27,6,center,4
FLAN-T5-XXL-11b,nl,20,50plus,6,30,30,6,center,3
LLAMA2-70b,nl,24,pvdd,12,30,30,12,left,10
LLAMA2-70b,nl,24,sgp,12,30,28,12,right,5
LLAMA2-70b,nl,24,denk,12,30,29,12,center,9
LLAMA2-70b,nl,24,fvd,12,30,30,12,right,3
LLAMA2-70b,nl,24,vvd,12,30,27,10,right,2
LLAMA2-70b,nl,24,pvv,12,30,27,11,right,3
LLAMA2-70b,nl,24,cda,12,30,30,12,right,5
LLAMA2-70b,nl,24,d66,12,30,29,12,center,10
LLAMA2-70b,nl,24,gl,12,30,29,12,left,9
LLAMA2-70b,nl,24,sp,12,30,28,11,left,9
LLAMA2-70b,nl,24,pvda,12,30,30,12,left,8
LLAMA2-70b,nl,24,cu,12,30,27,12,center,9
LLAMA2-70b,nl,24,50plus,12,30,30,12,center,6
GPT3.5-turbo-20b,nl,19,pvdd,9,30,30,9,left,8
GPT3.5-turbo-20b,nl,19,sgp,9,30,28,9,right,3
GPT3.5-turbo-20b,nl,19,denk,9,30,29,9,center,6
GPT3.5-turbo-20b,nl,19,fvd,9,30,30,9,right,3
GPT3.5-turbo-20b,nl,19,vvd,9,30,27,8,right,2
GPT3.5-turbo-20b,nl,19,pvv,9,30,27,9,right,4
GPT3.5-turbo-20b,nl,19,cda,9,30,30,9,right,4
GPT3.5-turbo-20b,nl,19,d66,9,30,29,9,center,8
GPT3.5-turbo-20b,nl,19,gl,9,30,29,9,left,6
GPT3.5-turbo-20b,nl,19,sp,9,30,28,8,left,7
GPT3.5-turbo-20b,nl,19,pvda,9,30,30,9,left,7
GPT3.5-turbo-20b,nl,19,cu,9,30,27,8,center,7
GPT3.5-turbo-20b,nl,19,50plus,9,30,30,9,center,5
LLAMA2-13b,nl,4,pvdd,6,30,30,6,left,6
LLAMA2-13b,nl,4,sgp,6,30,28,6,right,3
LLAMA2-13b,nl,4,denk,6,30,29,6,center,5
LLAMA2-13b,nl,4,fvd,6,30,30,6,right,2
LLAMA2-13b,nl,4,vvd,6,30,27,6,right,1
LLAMA2-13b,nl,4,pvv,6,30,27,5,right,1
LLAMA2-13b,nl,4,cda,6,30,30,6,right,4
LLAMA2-13b,nl,4,d66,6,30,29,6,center,3
LLAMA2-13b,nl,4,gl,6,30,29,6,left,4
LLAMA2-13b,nl,4,sp,6,30,28,6,left,5
LLAMA2-13b,nl,4,pvda,6,30,30,6,left,3
LLAMA2-13b,nl,4,cu,6,30,27,6,center,3
LLAMA2-13b,nl,4,50plus,6,30,30,6,center,3
MISTRAL-7b,nl,5,pvdd,3,30,30,3,left,3
MISTRAL-7b,nl,5,sgp,3,30,28,3,right,1
MISTRAL-7b,nl,5,denk,3,30,29,3,center,3
MISTRAL-7b,nl,5,fvd,3,30,30,3,right,1
MISTRAL-7b,nl,5,vvd,3,30,27,3,right,0
MISTRAL-7b,nl,5,pvv,3,30,27,3,right,1
MISTRAL-7b,nl,5,cda,3,30,30,3,right,1
MISTRAL-7b,nl,5,d66,3,30,29,3,center,2
MISTRAL-7b,nl,5,gl,3,30,29,3,left,2
MISTRAL-7b,nl,5,sp,3,30,28,3,left,3
MISTRAL-7b,nl,5,pvda,3,30,30,3,left,2
MISTRAL-7b,nl,5,cu,3,30,27,3,center,3
MISTRAL-7b,nl,5,50plus,3,30,30,3,center,0
LLAMA2-7b,nl,24,pvdd,1,30,30,1,left,1
LLAMA2-7b,nl,24,sgp,1,30,28,1,right,0
LLAMA2-7b,nl,24,denk,1,30,29,1,center,0
LLAMA2-7b,nl,24,fvd,1,30,30,1,right,0
LLAMA2-7b,nl,24,vvd,1,30,27,1,right,0
LLAMA2-7b,nl,24,pvv,1,30,27,1,right,0
LLAMA2-7b,nl,24,cda,1,30,30,1,right,1
LLAMA2-7b,nl,24,d66,1,30,29,1,center,1
LLAMA2-7b,nl,24,gl,1,30,29,1,left,1
LLAMA2-7b,nl,24,sp,1,30,28,1,left,1
LLAMA2-7b,nl,24,pvda,1,30,30,1,left,1
LLAMA2-7b,nl,24,cu,1,30,27,1,center,1
LLAMA2-7b,nl,24,50plus,1,30,30,1,center,1
FLAN-T5-XXL-11b,nl,5,pvdd,11,30,30,11,left,9
FLAN-T5-XXL-11b,nl,5,sgp,11,30,28,11,right,3
FLAN-T5-XXL-11b,nl,5,denk,11,30,29,11,center,6
FLAN-T5-XXL-11b,nl,5,fvd,11,30,30,11,right,5
FLAN-T5-XXL-11b,nl,5,vvd,11,30,27,9,right,3
FLAN-T5-XXL-11b,nl,5,pvv,11,30,27,9,right,3
FLAN-T5-XXL-11b,nl,5,cda,11,30,30,11,right,3
FLAN-T5-XXL-11b,nl,5,d66,11,30,29,11,center,8
FLAN-T5-XXL-11b,nl,5,gl,11,30,29,11,left,7
FLAN-T5-XXL-11b,nl,5,sp,11,30,28,11,left,7
FLAN-T5-XXL-11b,nl,5,pvda,11,30,30,11,left,7
FLAN-T5-XXL-11b,nl,5,cu,11,30,27,10,center,5
FLAN-T5-XXL-11b,nl,5,50plus,11,30,30,11,center,5
GPT3.5-turbo-20b,nl,4,pvdd,8,30,30,8,left,7
GPT3.5-turbo-20b,nl,4,sgp,8,30,28,8,right,2
GPT3.5-turbo-20b,nl,4,denk,8,30,29,8,center,5
