model,country,template_id,party,answered_stats_model,total_stats,answered_stats_party,answered_stats_party_and_model,rile,n_matches,relative_matches_model,relative_matches_stats
FLAN-T5-XXL-11b,de,0,grunen,2,38,36,2,left,2,100.0,5.263157894736842
GPT3.5-turbo-20b,de,25,cdu,16,38,29,10,center,6,37.5,15.789473684210526
GPT3.5-turbo-20b,de,25,spd,16,38,38,16,left,15,93.75,39.473684210526315
GPT3.5-turbo-20b,de,25,afd,16,38,36,16,right,3,18.75,7.894736842105263
GPT3.5-turbo-20b,de,25,fdp,16,38,29,9,right,5,31.25,13.157894736842104
GPT3.5-turbo-20b,de,25,linke,16,38,36,15,left,14,87.5,36.84210526315789
GPT3.5-turbo-20b,de,25,grunen,16,38,36,15,left,14,87.5,36.84210526315789
LLAMA2-13b,de,5,cdu,14,38,29,9,center,5,35.714285714285715,13.157894736842104
LLAMA2-13b,de,5,spd,14,38,38,14,left,12,85.71428571428571,31.57894736842105
LLAMA2-13b,de,5,afd,14,38,36,14,right,2,14.285714285714285,5.263157894736842
LLAMA2-13b,de,5,fdp,14,38,29,9,right,5,35.714285714285715,13.157894736842104
LLAMA2-13b,de,5,linke,14,38,36,14,left,12,85.71428571428571,31.57894736842105
LLAMA2-13b,de,5,grunen,14,38,36,14,left,11,78.57142857142857,28.947368421052634
LLAMA2-13b,de,24,cdu,14,38,29,9,center,5,35.714285714285715,13.157894736842104
LLAMA2-13b,de,24,spd,14,38,38,14,left,12,85.71428571428571,31.57894736842105
LLAMA2-13b,de,24,afd,14,38,36,13,right,2,14.285714285714285,5.263157894736842
LLAMA2-13b,de,24,fdp,14,38,29,10,right,5,35.714285714285715,13.157894736842104
LLAMA2-13b,de,24,linke,14,38,36,14,left,12,85.71428571428571,31.57894736842105
LLAMA2-13b,de,24,grunen,14,38,36,14,left,10,71.42857142857143,26.31578947368421
LLAMA2-7b,de,0,cdu,1,38,29,1,center,1,100.0,2.631578947368421
LLAMA2-7b,de,0,spd,1,38,38,1,left,1,100.0,2.631578947368421
LLAMA2-7b,de,0,afd,1,38,36,1,right,0,0.0,0.0
LLAMA2-7b,de,0,fdp,1,38,29,0,right,0,0.0,0.0
LLAMA2-7b,de,0,linke,1,38,36,1,left,1,100.0,2.631578947368421
LLAMA2-7b,de,0,grunen,1,38,36,1,left,1,100.0,2.631578947368421
LLAMA2-7b,de,20,cdu,10,38,29,4,center,2,20.0,5.263157894736842
LLAMA2-7b,de,20,spd,10,38,38,10,left,10,100.0,26.31578947368421
LLAMA2-7b,de,20,afd,10,38,36,10,right,1,10.0,2.631578947368421
LLAMA2-7b,de,20,fdp,10,38,29,8,right,4,40.0,10.526315789473683
LLAMA2-7b,de,20,linke,10,38,36,10,left,10,100.0,26.31578947368421
LLAMA2-7b,de,20,grunen,10,38,36,10,left,9,90.0,23.684210526315788
LLAMA2-13b,de,25,cdu,17,38,29,11,center,6,35.294117647058826,15.789473684210526
LLAMA2-13b,de,25,spd,17,38,38,17,left,14,82.35294117647058,36.84210526315789
LLAMA2-13b,de,25,afd,17,38,36,16,right,3,17.647058823529413,7.894736842105263
LLAMA2-13b,de,25,fdp,17,38,29,12,right,7,41.17647058823529,18.421052631578945
LLAMA2-13b,de,25,linke,17,38,36,17,left,15,88.23529411764706,39.473684210526315
LLAMA2-13b,de,25,grunen,17,38,36,16,left,13,76.47058823529412,34.21052631578947
LLAMA2-13b,de,0,cdu,5,38,29,3,center,3,60.0,7.894736842105263
LLAMA2-13b,de,0,spd,5,38,38,5,left,5,100.0,13.157894736842104
LLAMA2-13b,de,0,afd,5,38,36,5,right,1,20.0,2.631578947368421
LLAMA2-13b,de,0,fdp,5,38,29,2,right,1,20.0,2.631578947368421
LLAMA2-13b,de,0,linke,5,38,36,5,left,5,100.0,13.157894736842104
LLAMA2-13b,de,0,grunen,5,38,36,5,left,5,100.0,13.157894736842104
MISTRAL-7b,de,24,cdu,5,38,29,4,center,3,60.0,7.894736842105263
MISTRAL-7b,de,24,spd,5,38,38,5,left,4,80.0,10.526315789473683
MISTRAL-7b,de,24,afd,5,38,36,5,right,1,20.0,2.631578947368421
MISTRAL-7b,de,24,fdp,5,38,29,3,right,2,40.0,5.263157894736842
MISTRAL-7b,de,24,linke,5,38,36,5,left,5,100.0,13.157894736842104
MISTRAL-7b,de,24,grunen,5,38,36,5,left,5,100.0,13.157894736842104
MISTRAL-7b,de,0,cdu,6,38,29,5,center,4,66.66666666666666,10.526315789473683
MISTRAL-7b,de,0,spd,6,38,38,6,left,6,100.0,15.789473684210526
MISTRAL-7b,de,0,afd,6,38,36,6,right,2,33.33333333333333,5.263157894736842
MISTRAL-7b,de,0,fdp,6,38,29,4,right,3,50.0,7.894736842105263
MISTRAL-7b,de,0,linke,6,38,36,6,left,5,83.33333333333334,13.157894736842104
MISTRAL-7b,de,0,grunen,6,38,36,5,left,5,83.33333333333334,13.157894736842104
FLAN-T5-XXL-11b,de,20,cdu,10,38,29,5,center,3,30.0,7.894736842105263
FLAN-T5-XXL-11b,de,20,spd,10,38,38,10,left,10,100.0,26.31578947368421
FLAN-T5-XXL-11b,de,20,afd,10,38,36,10,right,1,10.0,2.631578947368421
FLAN-T5-XXL-11b,de,20,fdp,10,38,29,6,right,2,20.0,5.263157894736842
FLAN-T5-XXL-11b,de,20,linke,10,38,36,10,left,10,100.0,26.31578947368421
FLAN-T5-XXL-11b,de,20,grunen,10,38,36,10,left,10,100.0,26.31578947368421
LLAMA2-70b,de,24,cdu,19,38,29,12,center,4,21.052631578947366,10.526315789473683
LLAMA2-70b,de,24,spd,19,38,38,19,left,16,84.21052631578947,42.10526315789473
LLAMA2-70b,de,24,afd,19,38,36,18,right,1,5.263157894736842,2.631578947368421
LLAMA2-70b,de,24,fdp,19,38,29,13,right,5,26.31578947368421,13.157894736842104
LLAMA2-70b,de,24,linke,19,38,36,19,left,19,100.0,50.0
LLAMA2-70b,de,24,grunen,19,38,36,19,left,17,89.47368421052632,44.73684210526316
GPT3.5-turbo-20b,de,19,cdu,16,38,29,10,center,5,31.25,13.157894736842104
GPT3.5-turbo-20b,de,19,spd,16,38,38,16,left,15,93.75,39.473684210526315
GPT3.5-turbo-20b,de,19,afd,16,38,36,16,right,2,12.5,5.263157894736842
GPT3.5-turbo-20b,de,19,fdp,16,38,29,10,right,5,31.25,13.157894736842104
GPT3.5-turbo-20b,de,19,linke,16,38,36,16,left,15,93.75,39.473684210526315
GPT3.5-turbo-20b,de,19,grunen,16,38,36,15,left,15,93.75,39.473684210526315
LLAMA2-13b,de,4,cdu,9,38,29,5,center,2,22.22222222222222,5.263157894736842
LLAMA2-13b,de,4,spd,9,38,38,9,left,9,100.0,23.684210526315788
LLAMA2-13b,de,4,afd,9,38,36,9,right,0,0.0,0.0
LLAMA2-13b,de,4,fdp,9,38,29,6,right,3,33.33333333333333,7.894736842105263
LLAMA2-13b,de,4,linke,9,38,36,9,left,9,100.0,23.684210526315788
LLAMA2-13b,de,4,grunen,9,38,36,9,left,9,100.0,23.684210526315788
MISTRAL-7b,de,5,cdu,5,38,29,4,center,3,60.0,7.894736842105263
MISTRAL-7b,de,5,spd,5,38,38,5,left,5,100.0,13.157894736842104
MISTRAL-7b,de,5,afd,5,38,36,5,right,1,20.0,2.631578947368421
MISTRAL-7b,de,5,fdp,5,38,29,3,right,2,40.0,5.263157894736842
MISTRAL-7b,de,5,linke,5,38,36,5,left,5,100.0,13.157894736842104
MISTRAL-7b,de,5,grunen,5,38,36,5,left,5,100.0,13.157894736842104
LLAMA2-7b,de,24,cdu,3,38,29,2,center,2,66.66666666666666,5.263157894736842
LLAMA2-7b,de,24,spd,3,38,38,3,left,3,100.0,7.894736842105263
LLAMA2-7b,de,24,afd,3,38,36,3,right,0,0.0,0.0
LLAMA2-7b,de,24,fdp,3,38,29,1,right,0,0.0,0.0
LLAMA2-7b,de,24,linke,3,38,36,3,left,3,100.0,7.894736842105263
LLAMA2-7b,de,24,grunen,3,38,36,3,left,2,66.66666666666666,5.263157894736842
FLAN-T5-XXL-11b,de,5,cdu,12,38,29,7,center,6,50.0,15.789473684210526
FLAN-T5-XXL-11b,de,5,spd,12,38,38,12,left,12,100.0,31.57894736842105
FLAN-T5-XXL-11b,de,5,afd,12,38,36,12,right,3,25.0,7.894736842105263
FLAN-T5-XXL-11b,de,5,fdp,12,38,29,8,right,5,41.66666666666667,13.157894736842104
FLAN-T5-XXL-11b,de,5,linke,12,38,36,11,left,10,83.33333333333334,26.31578947368421
FLAN-T5-XXL-11b,de,5,grunen,12,38,36,11,left,9,75.0,23.684210526315788
GPT3.5-turbo-20b,de,4,cdu,17,38,29,11,center,5,29.411764705882355,13.157894736842104
GPT3.5-turbo-20b,de,4,spd,17,38,38,17,left,15,88.23529411764706,39.473684210526315
GPT3.5-turbo-20b,de,4,afd,17,38,36,17,right,2,11.76470588235294,5.263157894736842
GPT3.5-turbo-20b,de,4,fdp,17,38,29,11,right,6,35.294117647058826,15.789473684210526
GPT3.5-turbo-20b,de,4,linke,17,38,36,17,left,16,94.11764705882352,42.10526315789473
GPT3.5-turbo-20b,de,4,grunen,17,38,36,16,left,16,94.11764705882352,42.10526315789473
LLAMA2-70b,de,0,cdu,12,38,29,9,center,4,33.33333333333333,10.526315789473683
LLAMA2-70b,de,0,spd,12,38,38,12,left,11,91.66666666666666,28.947368421052634
LLAMA2-70b,de,0,afd,12,38,36,12,right,1,8.333333333333332,2.631578947368421
LLAMA2-70b,de,0,fdp,12,38,29,6,right,3,25.0,7.894736842105263
LLAMA2-70b,de,0,linke,12,38,36,12,left,12,100.0,31.57894736842105
LLAMA2-70b,de,0,grunen,12,38,36,12,left,12,100.0,31.57894736842105
MISTRAL-7b,de,4,cdu,3,38,29,2,center,2,66.66666666666666,5.263157894736842
MISTRAL-7b,de,4,spd,3,38,38,3,left,3,100.0,7.894736842105263
MISTRAL-7b,de,4,afd,3,38,36,3,right,0,0.0,0.0
MISTRAL-7b,de,4,fdp,3,38,29,1,right,0,0.0,0.0
MISTRAL-7b,de,4,linke,3,38,36,3,left,3,100.0,7.894736842105263
MISTRAL-7b,de,4,grunen,3,38,36,3,left,3,100.0,7.894736842105263
LLAMA2-7b,de,25,cdu,3,38,29,3,center,2,66.66666666666666,5.263157894736842
LLAMA2-7b,de,25,spd,3,38,38,3,left,3,100.0,7.894736842105263
LLAMA2-7b,de,25,afd,3,38,36,3,right,0,0.0,0.0
LLAMA2-7b,de,25,fdp,3,38,29,0,right,0,0.0,0.0
LLAMA2-7b,de,25,linke,3,38,36,3,left,3,100.0,7.894736842105263
LLAMA2-7b,de,25,grunen,3,38,36,3,left,3,100.0,7.894736842105263
LLAMA2-70b,de,20,cdu,23,38,29,15,center,4,17.391304347826086,10.526315789473683
LLAMA2-70b,de,20,spd,23,38,38,23,left,19,82.6086956521739,50.0
LLAMA2-70b,de,20,afd,23,38,36,21,right,2,8.695652173913043,5.263157894736842
LLAMA2-70b,de,20,fdp,23,38,29,17,right,6,26.08695652173913,15.789473684210526
LLAMA2-70b,de,20,linke,23,38,36,23,left,23,100.0,60.526315789473685
LLAMA2-70b,de,20,grunen,23,38,36,23,left,21,91.30434782608695,55.26315789473685
FLAN-T5-XXL-11b,de,24,cdu,13,38,29,7,center,5,38.46153846153847,13.157894736842104
FLAN-T5-XXL-11b,de,24,spd,13,38,38,13,left,13,100.0,34.21052631578947
FLAN-T5-XXL-11b,de,24,afd,13,38,36,13,right,2,15.384615384615385,5.263157894736842
FLAN-T5-XXL-11b,de,24,fdp,13,38,29,10,right,5,38.46153846153847,13.157894736842104
FLAN-T5-XXL-11b,de,24,linke,13,38,36,13,left,12,92.3076923076923,31.57894736842105
FLAN-T5-XXL-11b,de,24,grunen,13,38,36,12,left,11,84.61538461538461,28.947368421052634
LLAMA2-70b,de,5,cdu,20,38,29,12,center,4,20.0,10.526315789473683
LLAMA2-70b,de,5,spd,20,38,38,20,left,17,85.0,44.73684210526316
LLAMA2-70b,de,5,afd,20,38,36,19,right,2,10.0,5.263157894736842
LLAMA2-70b,de,5,fdp,20,38,29,14,right,4,20.0,10.526315789473683
LLAMA2-70b,de,5,linke,20,38,36,20,left,20,100.0,52.63157894736842
LLAMA2-70b,de,5,grunen,20,38,36,20,left,18,90.0,47.368421052631575
FLAN-T5-XXL-11b,de,25,cdu,13,38,29,9,center,6,46.15384615384615,15.789473684210526
FLAN-T5-XXL-11b,de,25,spd,13,38,38,13,left,13,100.0,34.21052631578947
FLAN-T5-XXL-11b,de,25,afd,13,38,36,13,right,3,23.076923076923077,7.894736842105263
FLAN-T5-XXL-11b,de,25,fdp,13,38,29,9,right,5,38.46153846153847,13.157894736842104
FLAN-T5-XXL-11b,de,25,linke,13,38,36,12,left,11,84.61538461538461,28.947368421052634
FLAN-T5-XXL-11b,de,25,grunen,13,38,36,12,left,11,84.61538461538461,28.947368421052634
GPT3.5-turbo-20b,de,5,cdu,19,38,29,12,center,8,42.10526315789473,21.052631578947366
GPT3.5-turbo-20b,de,5,spd,19,38,38,19,left,17,89.47368421052632,44.73684210526316
GPT3.5-turbo-20b,de,5,afd,19,38,36,19,right,5,26.31578947368421,13.157894736842104
GPT3.5-turbo-20b,de,5,fdp,19,38,29,12,right,7,36.84210526315789,18.421052631578945
GPT3.5-turbo-20b,de,5,linke,19,38,36,18,left,15,78.94736842105263,39.473684210526315
GPT3.5-turbo-20b,de,5,grunen,19,38,36,17,left,14,73.68421052631578,36.84210526315789
MISTRAL-7b,de,25,cdu,3,38,29,3,center,3,100.0,7.894736842105263
MISTRAL-7b,de,25,spd,3,38,38,3,left,3,100.0,7.894736842105263
MISTRAL-7b,de,25,afd,3,38,36,3,right,1,33.33333333333333,2.631578947368421
MISTRAL-7b,de,25,fdp,3,38,29,1,right,1,33.33333333333333,2.631578947368421
MISTRAL-7b,de,25,linke,3,38,36,3,left,3,100.0,7.894736842105263
MISTRAL-7b,de,25,grunen,3,38,36,3,left,3,100.0,7.894736842105263
MISTRAL-7b,de,20,cdu,4,38,29,3,center,3,75.0,7.894736842105263
MISTRAL-7b,de,20,spd,4,38,38,4,left,4,100.0,10.526315789473683
MISTRAL-7b,de,20,afd,4,38,36,4,right,1,25.0,2.631578947368421
MISTRAL-7b,de,20,fdp,4,38,29,2,right,1,25.0,2.631578947368421
MISTRAL-7b,de,20,linke,4,38,36,4,left,4,100.0,10.526315789473683
MISTRAL-7b,de,20,grunen,4,38,36,4,left,4,100.0,10.526315789473683
GPT3.5-turbo-20b,de,18,cdu,15,38,29,9,center,7,46.666666666666664,18.421052631578945
GPT3.5-turbo-20b,de,18,spd,15,38,38,15,left,14,93.33333333333333,36.84210526315789
GPT3.5-turbo-20b,de,18,afd,15,38,36,15,right,4,26.666666666666668,10.526315789473683
GPT3.5-turbo-20b,de,18,fdp,15,38,29,10,right,6,40.0,15.789473684210526
GPT3.5-turbo-20b,de,18,linke,15,38,36,14,left,12,80.0,31.57894736842105
GPT3.5-turbo-20b,de,18,grunen,15,38,36,13,left,12,80.0,31.57894736842105
LLAMA2-70b,de,4,cdu,24,38,29,16,center,4,16.666666666666664,10.526315789473683
LLAMA2-70b,de,4,spd,24,38,38,24,left,20,83.33333333333334,52.63157894736842
LLAMA2-70b,de,4,afd,24,38,36,22,right,2,8.333333333333332,5.263157894736842
LLAMA2-70b,de,4,fdp,24,38,29,18,right,6,25.0,15.789473684210526
LLAMA2-70b,de,4,linke,24,38,36,24,left,24,100.0,63.1578947368421
LLAMA2-70b,de,4,grunen,24,38,36,24,left,22,91.66666666666666,57.89473684210527
FLAN-T5-XXL-11b,de,4,cdu,12,38,29,8,center,4,33.33333333333333,10.526315789473683
FLAN-T5-XXL-11b,de,4,spd,12,38,38,12,left,11,91.66666666666666,28.947368421052634
FLAN-T5-XXL-11b,de,4,afd,12,38,36,12,right,1,8.333333333333332,2.631578947368421
FLAN-T5-XXL-11b,de,4,fdp,12,38,29,8,right,3,25.0,7.894736842105263
FLAN-T5-XXL-11b,de,4,linke,12,38,36,12,left,12,100.0,31.57894736842105
FLAN-T5-XXL-11b,de,4,grunen,12,38,36,12,left,12,100.0,31.57894736842105
LLAMA2-13b,de,20,cdu,11,38,29,6,center,3,27.27272727272727,7.894736842105263
LLAMA2-13b,de,20,spd,11,38,38,11,left,11,100.0,28.947368421052634
LLAMA2-13b,de,20,afd,11,38,36,11,right,0,0.0,0.0
LLAMA2-13b,de,20,fdp,11,38,29,7,right,3,27.27272727272727,7.894736842105263
LLAMA2-13b,de,20,linke,11,38,36,11,left,11,100.0,28.947368421052634
LLAMA2-13b,de,20,grunen,11,38,36,11,left,10,90.9090909090909,26.31578947368421
GPT3.5-turbo-20b,de,24,cdu,17,38,29,11,center,7,41.17647058823529,18.421052631578945
GPT3.5-turbo-20b,de,24,spd,17,38,38,17,left,15,88.23529411764706,39.473684210526315
GPT3.5-turbo-20b,de,24,afd,17,38,36,17,right,4,23.52941176470588,10.526315789473683
GPT3.5-turbo-20b,de,24,fdp,17,38,29,11,right,7,41.17647058823529,18.421052631578945
GPT3.5-turbo-20b,de,24,linke,17,38,36,17,left,14,82.35294117647058,36.84210526315789
GPT3.5-turbo-20b,de,24,grunen,17,38,36,15,left,13,76.47058823529412,34.21052631578947
LLAMA2-70b,nl,25,pvdd,8,30,30,8,left,8,100.0,26.666666666666668
LLAMA2-70b,nl,25,sgp,8,30,28,8,right,2,25.0,6.666666666666667
LLAMA2-70b,nl,25,denk,8,30,29,8,center,7,87.5,23.333333333333332
LLAMA2-70b,nl,25,fvd,8,30,30,8,right,1,12.5,3.3333333333333335
LLAMA2-70b,nl,25,vvd,8,30,27,7,right,1,12.5,3.3333333333333335
LLAMA2-70b,nl,25,pvv,8,30,27,7,right,2,25.0,6.666666666666667
LLAMA2-70b,nl,25,cda,8,30,30,8,right,4,50.0,13.333333333333334
LLAMA2-70b,nl,25,d66,8,30,29,8,center,7,87.5,23.333333333333332
LLAMA2-70b,nl,25,gl,8,30,29,8,left,7,87.5,23.333333333333332
LLAMA2-70b,nl,25,sp,8,30,28,8,left,8,100.0,26.666666666666668
LLAMA2-70b,nl,25,pvda,8,30,30,8,left,7,87.5,23.333333333333332
LLAMA2-70b,nl,25,cu,8,30,27,8,center,6,75.0,20.0
LLAMA2-70b,nl,25,50plus,8,30,30,8,center,4,50.0,13.333333333333334
LLAMA2-7b,nl,5,pvdd,3,30,30,3,left,3,100.0,10.0
LLAMA2-7b,nl,5,sgp,3,30,28,3,right,1,33.33333333333333,3.3333333333333335
LLAMA2-7b,nl,5,denk,3,30,29,3,center,2,66.66666666666666,6.666666666666667
LLAMA2-7b,nl,5,fvd,3,30,30,3,right,0,0.0,0.0
LLAMA2-7b,nl,5,vvd,3,30,27,3,right,1,33.33333333333333,3.3333333333333335
LLAMA2-7b,nl,5,pvv,3,30,27,3,right,0,0.0,0.0
LLAMA2-7b,nl,5,cda,3,30,30,3,right,2,66.66666666666666,6.666666666666667
LLAMA2-7b,nl,5,d66,3,30,29,3,center,3,100.0,10.0
LLAMA2-7b,nl,5,gl,3,30,29,3,left,3,100.0,10.0
LLAMA2-7b,nl,5,sp,3,30,28,3,left,3,100.0,10.0
LLAMA2-7b,nl,5,pvda,3,30,30,3,left,3,100.0,10.0
LLAMA2-7b,nl,5,cu,3,30,27,3,center,3,100.0,10.0
LLAMA2-7b,nl,5,50plus,3,30,30,3,center,2,66.66666666666666,6.666666666666667
FLAN-T5-XXL-11b,nl,0,pvdd,1,30,30,1,left,1,100.0,3.3333333333333335
FLAN-T5-XXL-11b,nl,0,sgp,1,30,28,1,right,0,0.0,0.0
FLAN-T5-XXL-11b,nl,0,denk,1,30,29,1,center,0,0.0,0.0
FLAN-T5-XXL-11b,nl,0,fvd,1,30,30,1,right,0,0.0,0.0
FLAN-T5-XXL-11b,nl,0,vvd,1,30,27,1,right,0,0.0,0.0
FLAN-T5-XXL-11b,nl,0,pvv,1,30,27,1,right,0,0.0,0.0
FLAN-T5-XXL-11b,nl,0,cda,1,30,30,1,right,1,100.0,3.3333333333333335
FLAN-T5-XXL-11b,nl,0,d66,1,30,29,1,center,1,100.0,3.3333333333333335
FLAN-T5-XXL-11b,nl,0,gl,1,30,29,1,left,1,100.0,3.3333333333333335
FLAN-T5-XXL-11b,nl,0,sp,1,30,28,1,left,1,100.0,3.3333333333333335
FLAN-T5-XXL-11b,nl,0,pvda,1,30,30,1,left,1,100.0,3.3333333333333335
FLAN-T5-XXL-11b,nl,0,cu,1,30,27,1,center,1,100.0,3.3333333333333335
FLAN-T5-XXL-11b,nl,0,50plus,1,30,30,1,center,1,100.0,3.3333333333333335
GPT3.5-turbo-20b,nl,25,pvdd,7,30,30,7,left,5,71.42857142857143,16.666666666666664
GPT3.5-turbo-20b,nl,25,sgp,7,30,28,7,right,2,28.57142857142857,6.666666666666667
GPT3.5-turbo-20b,nl,25,denk,7,30,29,7,center,4,57.14285714285714,13.333333333333334
GPT3.5-turbo-20b,nl,25,fvd,7,30,30,7,right,2,28.57142857142857,6.666666666666667
GPT3.5-turbo-20b,nl,25,vvd,7,30,27,7,right,3,42.857142857142854,10.0
GPT3.5-turbo-20b,nl,25,pvv,7,30,27,7,right,2,28.57142857142857,6.666666666666667
GPT3.5-turbo-20b,nl,25,cda,7,30,30,7,right,5,71.42857142857143,16.666666666666664
GPT3.5-turbo-20b,nl,25,d66,7,30,29,7,center,6,85.71428571428571,20.0
GPT3.5-turbo-20b,nl,25,gl,7,30,29,7,left,4,57.14285714285714,13.333333333333334
GPT3.5-turbo-20b,nl,25,sp,7,30,28,7,left,6,85.71428571428571,20.0
GPT3.5-turbo-20b,nl,25,pvda,7,30,30,7,left,4,57.14285714285714,13.333333333333334
GPT3.5-turbo-20b,nl,25,cu,7,30,27,7,center,4,57.14285714285714,13.333333333333334
GPT3.5-turbo-20b,nl,25,50plus,7,30,30,7,center,4,57.14285714285714,13.333333333333334
LLAMA2-13b,nl,5,pvdd,8,30,30,8,left,8,100.0,26.666666666666668
LLAMA2-13b,nl,5,sgp,8,30,28,8,right,3,37.5,10.0
LLAMA2-13b,nl,5,denk,8,30,29,8,center,7,87.5,23.333333333333332
LLAMA2-13b,nl,5,fvd,8,30,30,8,right,2,25.0,6.666666666666667
LLAMA2-13b,nl,5,vvd,8,30,27,8,right,1,12.5,3.3333333333333335
LLAMA2-13b,nl,5,pvv,8,30,27,7,right,1,12.5,3.3333333333333335
LLAMA2-13b,nl,5,cda,8,30,30,8,right,4,50.0,13.333333333333334
LLAMA2-13b,nl,5,d66,8,30,29,8,center,5,62.5,16.666666666666664
LLAMA2-13b,nl,5,gl,8,30,29,8,left,6,75.0,20.0
LLAMA2-13b,nl,5,sp,8,30,28,8,left,7,87.5,23.333333333333332
LLAMA2-13b,nl,5,pvda,8,30,30,8,left,5,62.5,16.666666666666664
LLAMA2-13b,nl,5,cu,8,30,27,8,center,5,62.5,16.666666666666664
LLAMA2-13b,nl,5,50plus,8,30,30,8,center,3,37.5,10.0
LLAMA2-13b,nl,24,pvdd,8,30,30,8,left,7,87.5,23.333333333333332
LLAMA2-13b,nl,24,sgp,8,30,28,8,right,1,12.5,3.3333333333333335
LLAMA2-13b,nl,24,denk,8,30,29,8,center,6,75.0,20.0
LLAMA2-13b,nl,24,fvd,8,30,30,8,right,3,37.5,10.0
LLAMA2-13b,nl,24,vvd,8,30,27,8,right,1,12.5,3.3333333333333335
LLAMA2-13b,nl,24,pvv,8,30,27,7,right,3,37.5,10.0
LLAMA2-13b,nl,24,cda,8,30,30,8,right,4,50.0,13.333333333333334
LLAMA2-13b,nl,24,d66,8,30,29,8,center,6,75.0,20.0
LLAMA2-13b,nl,24,gl,8,30,29,8,left,5,62.5,16.666666666666664
LLAMA2-13b,nl,24,sp,8,30,28,8,left,8,100.0,26.666666666666668
LLAMA2-13b,nl,24,pvda,8,30,30,8,left,5,62.5,16.666666666666664
LLAMA2-13b,nl,24,cu,8,30,27,8,center,5,62.5,16.666666666666664
LLAMA2-13b,nl,24,50plus,8,30,30,8,center,3,37.5,10.0
LLAMA2-7b,nl,20,pvdd,8,30,30,8,left,7,87.5,23.333333333333332
LLAMA2-7b,nl,20,sgp,8,30,28,8,right,1,12.5,3.3333333333333335
LLAMA2-7b,nl,20,denk,8,30,29,8,center,6,75.0,20.0
LLAMA2-7b,nl,20,fvd,8,30,30,8,right,3,37.5,10.0
LLAMA2-7b,nl,20,vvd,8,30,27,8,right,1,12.5,3.3333333333333335
LLAMA2-7b,nl,20,pvv,8,30,27,7,right,3,37.5,10.0
LLAMA2-7b,nl,20,cda,8,30,30,8,right,4,50.0,13.333333333333334
LLAMA2-7b,nl,20,d66,8,30,29,8,center,6,75.0,20.0
LLAMA2-7b,nl,20,gl,8,30,29,8,left,5,62.5,16.666666666666664
LLAMA2-7b,nl,20,sp,8,30,28,8,left,8,100.0,26.666666666666668
LLAMA2-7b,nl,20,pvda,8,30,30,8,left,5,62.5,16.666666666666664
LLAMA2-7b,nl,20,cu,8,30,27,8,center,6,75.0,20.0
LLAMA2-7b,nl,20,50plus,8,30,30,8,center,3,37.5,10.0
LLAMA2-13b,nl,25,pvdd,8,30,30,8,left,8,100.0,26.666666666666668
LLAMA2-13b,nl,25,sgp,8,30,28,8,right,3,37.5,10.0
LLAMA2-13b,nl,25,denk,8,30,29,8,center,7,87.5,23.333333333333332
LLAMA2-13b,nl,25,fvd,8,30,30,8,right,1,12.5,3.3333333333333335
LLAMA2-13b,nl,25,vvd,8,30,27,7,right,1,12.5,3.3333333333333335
LLAMA2-13b,nl,25,pvv,8,30,27,7,right,2,25.0,6.666666666666667
LLAMA2-13b,nl,25,cda,8,30,30,8,right,5,62.5,16.666666666666664
